epoch,val_loss,val_dice,val_iou,val_precision,val_recall
10,0.5182,0.3001,0.4771,0.6922,0.6069
11,0.5061,0.3149,0.4868,0.6636,0.6475
12,0.5037,0.3172,0.4819,0.6553,0.6468
13,0.5205,0.3186,0.5032,0.6805,0.66
14,0.503,0.3255,0.5161,0.7081,0.6567
15,0.4991,0.3047,0.4407,0.6084,0.6163
16,0.5059,0.3331,0.5183,0.6762,0.6907
17,0.5005,0.3202,0.4718,0.635,0.6488
18,0.5009,0.3373,0.5315,0.6945,0.695
19,0.4962,0.3388,0.5063,0.6509,0.6965
20,0.4988,0.3287,0.5096,0.6772,0.6744
1,0.7216,0.1285,0.0006,0.1069,0.0006
2,0.6697,0.1445,0.0011,0.0389,0.0011
3,0.6491,0.1604,0.1532,0.6744,0.1653
4,0.6274,0.1735,0.2838,0.6896,0.3255
5,0.6112,0.203,0.3858,0.5641,0.55
6,0.5888,0.2376,0.4236,0.551,0.6482
7,0.5734,0.2535,0.4398,0.5803,0.6461
8,0.5643,0.2526,0.4357,0.6196,0.596
9,0.5476,0.2666,0.4642,0.6432,0.6264
10,0.5392,0.2831,0.4596,0.583,0.6859
11,0.5359,0.2965,0.4901,0.6152,0.708
12,0.5326,0.2989,0.4665,0.5826,0.7016
13,0.5227,0.296,0.4817,0.6342,0.6683
14,0.5171,0.291,0.4788,0.661,0.6361
15,0.5129,0.3104,0.4786,0.6012,0.7028
1,0.6987,0.1437,0.0607,0.5726,0.0637
2,0.6565,0.1866,0.3152,0.4945,0.4649
3,0.632,0.2124,0.3909,0.5522,0.5736
4,0.6084,0.2286,0.415,0.5467,0.6341
5,0.5984,0.249,0.4527,0.5646,0.6967
6,0.5926,0.2491,0.4635,0.6,0.6721
7,0.583,0.2492,0.484,0.6519,0.6542
8,0.5769,0.2594,0.4762,0.6114,0.6841
9,0.5707,0.2605,0.4752,0.6244,0.6667
10,0.5657,0.259,0.4822,0.6497,0.6534
11,0.5616,0.2773,0.4955,0.6103,0.7259
12,0.5506,0.2795,0.5034,0.6339,0.7113
13,0.5499,0.2802,0.4949,0.6257,0.7047
14,0.5438,0.2687,0.474,0.6544,0.634
15,0.5387,0.2771,0.4863,0.6481,0.6623
16,0.5366,0.2823,0.4962,0.6515,0.6771
1,0.7237,0.1219,0.0009,0.0308,0.0009
2,0.6631,0.1502,0.1419,0.6914,0.1531
3,0.6387,0.1623,0.2045,0.6038,0.2368
4,0.6038,0.2059,0.375,0.6917,0.4511
5,0.5763,0.233,0.3908,0.6511,0.4949
6,0.5573,0.2639,0.4244,0.5881,0.6054
7,0.5431,0.2546,0.4029,0.6376,0.5236
8,0.5407,0.2775,0.4491,0.6411,0.6014
9,0.5309,0.2852,0.4485,0.6305,0.61
10,0.5265,0.2925,0.4674,0.6548,0.6219
11,0.5119,0.2987,0.4658,0.6513,0.6217
12,0.5191,0.3059,0.4795,0.6418,0.6559
13,0.5134,0.3155,0.4836,0.6293,0.6779
14,0.5136,0.2954,0.48,0.707,0.6012
15,0.5037,0.3235,0.4968,0.6424,0.6883
16,0.5089,0.3116,0.4801,0.6517,0.6473
17,0.5031,0.3164,0.503,0.686,0.6555
18,0.5004,0.3238,0.5022,0.643,0.6981
19,0.4977,0.3054,0.4709,0.6646,0.6194
20,0.5039,0.3264,0.5096,0.6767,0.6754
1,0.7178,0.1324,0.0014,0.0286,0.0015
2,0.6606,0.1451,0.0056,0.3783,0.0057
3,0.6303,0.1799,0.32,0.6015,0.4056
4,0.598,0.2197,0.3718,0.5223,0.5626
5,0.5779,0.2478,0.4068,0.5787,0.5793
6,0.5581,0.2367,0.387,0.5734,0.5429
7,0.5444,0.2607,0.4353,0.6726,0.5541
8,0.5366,0.2826,0.4576,0.6219,0.6351
9,0.5233,0.2913,0.4604,0.6416,0.622
10,0.5159,0.302,0.474,0.635,0.6531
11,0.5082,0.2938,0.4625,0.6314,0.6353
12,0.5115,0.3019,0.4735,0.6486,0.6378
13,0.5072,0.3119,0.5,0.6683,0.666
14,0.5147,0.3107,0.4823,0.6468,0.656
15,0.5071,0.3147,0.4686,0.6032,0.6785
16,0.5068,0.3129,0.4818,0.6371,0.6651
17,0.5076,0.3183,0.4958,0.6572,0.67
1,0.723,0.1328,0.006,0.1685,0.0061
2,0.6716,0.1549,0.1676,0.5392,0.1975
3,0.6522,0.1702,0.2822,0.4652,0.42
4,0.6338,0.1948,0.3646,0.5355,0.5338
